fips,lon,lat,pop,name
29177,-94.062098,39.336637,23158,Ray
29179,-90.970144,37.329,6096,Reynolds
29181,-90.790679,36.626945,10679,Ripley
29183,-90.671284,38.778572,405262,St. Charles
29185,-93.763876,38.057169,9284,St. Clair
29186,-90.165655,37.94083,18479,Ste. Genevieve
29187,-90.488054,37.834497,66922,St. Francois
29189,-90.389519,38.644521,1004125,St. Louis
29195,-93.202654,39.111399,23333,Saline
29197,-92.520354,40.461863,4032,Schuyler
29199,-92.151796,40.44806,4716,Scotland
29201,-89.577539,37.015235,38059,Scott
29203,-91.432915,37.068998,7031,Shannon
29205,-92.07725,39.761716,6103,Shelby
29207,-89.970872,36.847864,28672,Stoddard
29209,-93.437769,36.723445,31076,Stone
29211,-93.101593,40.21493,5999,Sullivan
29213,-93.195143,36.657085,56066,Taney
29215,-91.966146,37.330114,24487,Texas
29217,-94.33739,37.836794,19707,Vernon
29219,-91.098557,38.790363,35532,Warren
29221,-90.785794,37.953782,23514,Washington
29223,-90.523545,37.109113,10974,Wayne
29225,-92.906843,37.26294,39085,Webster
29227,-94.437082,40.481643,1973,Worth
29229,-92.433272,37.193283,18188,Wright
29510,-90.253332,38.620558,301578,St. Louis
40001,-94.635683,35.887468,19495,Adair
40003,-98.317631,36.658546,5699,Alfalfa
40005,-96.097526,34.329959,14143,Atoka
40007,-100.638158,36.829383,5049,Beaver
40009,-99.511022,35.361158,22410,Beckham
40011,-98.428177,35.885203,8735,Blaine
40013,-96.386125,33.980731,46067,Bryan
40015,-98.339383,35.175959,26945,Caddo
40017,-97.766177,35.493359,154405,Canadian
40019,-97.19745,34.189514,48003,Carter
40021,-94.995607,35.902314,47078,Cherokee
40023,-95.528308,34.019064,14204,Choctaw
40025,-102.496037,36.734437,2296,Cimarron
40027,-97.450434,35.269308,295528,Cleveland
40029,-96.278199,34.548037,5266,Coal
40031,-98.419449,34.633044,121125,Comanche
40033,-98.331491,34.31257,5527,Cotton
40035,-95.154588,36.679216,14107,Craig
40037,-96.226043,35.9754,71754,Creek
40039,-98.828737,35.547694,28513,Custer
40041,-94.793251,36.468532,40397,Delaware
40043,-99.074156,36.057055,4484,Dewey
40045,-99.786963,36.262513,3749,Ellis
40047,-97.885455,36.398481,62846,Garfield
40049,-97.28949,34.737491,25656,Garvin
40051,-97.850428,35.112409,54795,Grady
40053,-97.779663,36.761056,4169,Grant
40055,-99.464241,34.912036,5491,Greer
40057,-99.897391,34.694548,2488,Harmon
40059,-99.761804,36.768589,3272,Harper
40061,-95.124795,35.239002,11561,Haskell
40063,-96.326231,35.079245,13367,Hughes
40065,-99.331416,34.657239,24785,Jackson
40067,-97.871654,34.132097,5337,Jefferson
40069,-96.650068,34.262325,10272,Johnston
40071,-97.125201,36.744254,43700,Kay
40073,-97.91096,35.913869,15184,Kingfisher
40075,-99.017988,34.936853,8509,Kiowa
40077,-95.255214,34.88202,9444,Latimer
40079,-94.639064,35.065249,48129,Le Flore
40081,-96.882274,35.656322,33458,Lincoln
40083,-97.442909,35.822271,49555,Logan
40085,-97.170128,33.922696,10146,Love
40087,-97.527577,35.106328,41662,McClain
40089,-94.814678,33.999674,30814,McCurtain
40091,-95.581367,35.385902,18941,McIntosh
40093,-98.432369,36.298864,7782,Major
40095,-96.749333,34.01809,15312,Marshall
40097,-95.243222,36.292233,39046,Mayes
40099,-97.027691,34.507083,13904,Murray
40101,-95.366561,35.71185,66339,Muskogee
40103,-97.233088,36.324096,10924,Noble
40105,-95.635237,36.774995,9320,Nowata
40107,-96.337952,35.451094,11310,Okfuskee
40109,-97.512375,35.52553,796292,Oklahoma
40111,-95.969216,35.617922,36706,Okmulgee
40113,-96.228583,36.415208,45818,Osage
40115,-94.834841,36.857439,30285,Ottawa
40117,-96.539216,36.270375,15553,Pawnee
40119,-97.007049,36.0913,81646,Payne
40121,-95.721263,34.956346,43773,Pittsburg
40123,-96.67319,34.774213,38065,Pontotoc
40125,-96.952883,35.321377,72454,Pottawatomie
40127,-95.482036,34.327826,10812,Pushmataha
40129,-99.659405,35.628485,3442,Roger Mills
40131,-95.650597,36.31533,95240,Rogers
40133,-96.631163,35.186227,23556,Seminole
40135,-94.729702,35.466206,39281,Sequoyah
40137,-97.946619,34.518536,42848,Stephens
40139,-101.448408,36.712185,21384,Texas
40141,-98.971119,34.382478,6968,Tillman
40143,-95.91151,36.1027,669279,Tulsa
40145,-95.627565,36.015963,80981,Wagoner
40147,-95.937432,36.728457,52455,Washington
40149,-99.05353,35.314336,10924,Washita
40151,-98.708062,36.767497,8624,Woods
40153,-99.383574,36.423748,20470,Woodward
47001,-84.178765,36.081238,77123,Anderson
47003,-86.465018,35.512233,50237,Bedford
47005,-88.090044,36.070898,15864,Benton
47007,-85.200314,35.621511,14913,Bledsoe
47009,-83.973461,35.753197,135280,Blount
47011,-84.859688,35.167425,108620,Bradley
47013,-84.125957,36.381486,39272,Campbell
47015,-86.063976,35.799353,14506,Cannon
47017,-88.464218,36.018877,28440,Carroll
47019,-82.203404,36.31899,56356,Carter
47021,-87.063519,36.272282,41072,Cheatham
47023,-88.62251,35.438266,17341,Chester
47025,-83.639849,36.4887,32043,Claiborne
47027,-85.562901,36.552828,7581,Clay
47029,-83.174047,35.947274,35999,Cocke
47031,-86.124582,35.454229,57889,Coffee
47033,-89.120017,35.787543,13911,Crockett
47035,-85.017779,35.955637,61145,Cumberland
