fips,county_name,acs_vintage,total_pop,median_hh_income,median_age,poverty_universe,poverty_below,poverty_rate,race_total,race_white,race_black,pct_white,pct_black,pop_under_18,pct_under_18,pop_21plus,pct_21plus
5073,"Lafayette County, Arkansas",2010,7764.0,27515.0,42.7,7697.0,1530.0,0.1988,7764.0,4756.0,2939.0,0.6126,0.3785,1760.0,0.2267,6004.0,0.7733
5075,"Lawrence County, Arkansas",2010,17340.0,30288.0,39.7,16298.0,3988.0,0.2447,17340.0,16876.0,46.0,0.9732,0.0027,4055.0,0.2339,13285.0,0.7661
5077,"Lee County, Arkansas",2010,10709.0,30494.0,40.1,9176.0,2642.0,0.2879,10709.0,4496.0,5909.0,0.4198,0.5518,2353.0,0.2197,8356.0,0.7803
5079,"Lincoln County, Arkansas",2010,14203.0,35737.0,36.2,11726.0,3027.0,0.2581,14203.0,9324.0,4328.0,0.6565,0.3047,2845.0,0.2003,11358.0,0.7997
5081,"Little River County, Arkansas",2010,13145.0,33416.0,41.2,12820.0,2377.0,0.1854,13145.0,9746.0,2783.0,0.7414,0.2117,3117.0,0.2371,10028.0,0.7629
5083,"Logan County, Arkansas",2010,22580.0,37551.0,41.3,22488.0,3218.0,0.1431,22580.0,21321.0,175.0,0.9442,0.0078,5690.0,0.252,16890.0,0.748
5085,"Lonoke County, Arkansas",2010,65846.0,50757.0,35.3,65131.0,8208.0,0.126,65846.0,59251.0,4207.0,0.8998,0.0639,18198.0,0.2764,47648.0,0.7236
5087,"Madison County, Arkansas",2010,15507.0,36502.0,38.5,15267.0,2864.0,0.1876,15507.0,14776.0,48.0,0.9529,0.0031,3849.0,0.2482,11658.0,0.7518
5089,"Marion County, Arkansas",2010,16779.0,34109.0,48.7,16678.0,2582.0,0.1548,16779.0,16230.0,0.0,0.9673,0.0,3175.0,0.1892,13604.0,0.8108
5091,"Miller County, Arkansas",2010,43048.0,40307.0,37.2,41817.0,7549.0,0.1805,43048.0,31225.0,10446.0,0.7254,0.2427,10694.0,0.2484,32354.0,0.7516
5093,"Mississippi County, Arkansas",2010,46815.0,33407.0,34.6,46014.0,11728.0,0.2549,46815.0,29759.0,15877.0,0.6357,0.3391,13292.0,0.2839,33523.0,0.7161
