fips,year,dist_popcen_instate,dist_popcen_aug,dist_border_instate,dist_border_aug,nearest_wet_fips_aug,nearest_wet_is_oos,n_wet_neighbors_instate_chk,n_oos_wet_neighbors,n_wet_neighbors_aug,any_wet_neighbor_aug,share_wet_neighbors_aug
05025,2019,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05025,2020,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05025,2021,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05025,2022,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05025,2023,22.549,22.549,10.362,10.362,05069,0,4,0,4,1,0.5714
05027,2008,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2009,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2010,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2011,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2012,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2013,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2014,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2015,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2016,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2017,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2018,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2019,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2020,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2021,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2022,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05027,2023,32.077,32.077,11.192,11.192,05103,0,2,2,4,1,0.6667
05029,2008,37.473,37.473,19.663,19.663,05119,0,0,0,0,0,0.0
05029,2009,37.473,37.473,19.663,19.663,05119,0,0,0,0,0,0.0
05029,2010,37.473,37.473,19.663,19.663,05119,0,0,0,0,0,0.0
05029,2011,37.473,37.473,19.663,19.663,05119,0,0,0,0,0,0.0
05029,2012,37.473,37.473,19.663,19.663,05119,0,0,0,0,0,0.0
05029,2013,37.473,37.473,19.663,19.663,05119,0,0,0,0,0,0.0
05029,2014,37.473,37.473,19.663,19.663,05119,0,0,0,0,0,0.0
05029,2015,37.473,37.473,19.663,19.663,05119,0,0,0,0,0,0.0
05029,2016,37.473,37.473,19.663,19.663,05119,0,0,0,0,0,0.0
05029,2017,37.473,37.473,19.663,19.663,05119,0,0,0,0,0,0.0
05029,2018,37.473,37.473,19.663,19.663,05119,0,0,0,0,0,0.0
05029,2019,37.473,37.473,19.663,19.663,05119,0,0,0,0,0,0.0
05029,2020,29.345,29.345,17.062,17.062,05141,0,1,0,1,1,0.2
05029,2021,29.345,29.345,17.062,17.062,05141,0,1,0,1,1,0.2
05029,2022,29.345,29.345,17.062,17.062,05141,0,1,0,1,1,0.2
05029,2023,29.345,29.345,17.062,17.062,05141,0,1,0,1,1,0.2
05031,2008,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2009,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2010,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2011,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2012,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2013,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2014,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2015,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2016,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2017,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2018,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2019,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2020,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2021,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2022,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05031,2023,17.13,17.13,9.051,9.051,05055,0,4,1,5,1,0.8333
05033,2008,12.723,12.723,7.294,7.294,05131,0,3,2,5,1,0.8333
05033,2009,12.723,12.723,7.294,7.294,05131,0,3,2,5,1,0.8333
05033,2010,12.723,12.723,7.294,7.294,05131,0,3,2,5,1,0.8333
05033,2011,12.723,12.723,7.294,7.294,05131,0,3,2,5,1,0.8333
05033,2012,12.723,12.723,7.294,7.294,05131,0,4,2,6,1,1.0
05033,2013,12.723,12.723,7.294,7.294,05131,0,4,2,6,1,1.0
05033,2014,12.723,12.723,7.294,7.294,05131,0,4,2,6,1,1.0
05033,2015,12.723,12.723,7.294,7.294,05131,0,4,2,6,1,1.0
05033,2016,12.723,12.723,7.294,7.294,05131,0,4,2,6,1,1.0
05033,2017,12.723,12.723,7.294,7.294,05131,0,4,2,6,1,1.0
05033,2018,12.723,12.723,7.294,7.294,05131,0,4,2,6,1,1.0
05033,2019,12.723,12.723,7.294,7.294,05131,0,4,2,6,1,1.0
05033,2020,12.723,12.723,7.294,7.294,05131,0,4,2,6,1,1.0
05033,2021,12.723,12.723,7.294,7.294,05131,0,4,2,6,1,1.0
05033,2022,12.723,12.723,7.294,7.294,05131,0,4,2,6,1,1.0
05033,2023,12.723,12.723,7.294,7.294,05131,0,4,2,6,1,1.0
05035,2008,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05035,2009,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05035,2010,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05035,2011,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05035,2012,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05035,2013,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05035,2014,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05035,2015,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05035,2016,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
05035,2017,32.251,18.75,10.74,4.56,47157,1,5,1,6,1,0.6667
