fips,county,year,month,fatal_crashes,total_fatalities,alcohol_fatal_crashes,weekend_crashes,night_crashes,crashes_sun,crashes_mon,crashes_tue,crashes_wed,crashes_thu,crashes_fri,crashes_sat,alcohol_flag_source
5003,Ashley,2009,5,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2009,6,1,1,0,0,0,0,0,0,0,1,0,0,DRUNK_DR
5003,Ashley,2009,7,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2009,8,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2009,9,1,1,0,0,0,0,1,0,0,0,0,0,DRUNK_DR
5003,Ashley,2009,10,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2009,11,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2009,12,1,1,1,1,1,1,0,0,0,0,0,0,DRUNK_DR
5003,Ashley,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2010,2,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2010,3,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2010,4,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2010,5,1,1,1,1,0,1,0,0,0,0,0,0,DRUNK_DR
5003,Ashley,2010,6,1,1,0,0,0,0,0,0,0,1,0,0,DRUNK_DR
5003,Ashley,2010,7,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2010,8,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2010,9,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2010,10,1,1,0,0,0,0,0,0,1,0,0,0,DRUNK_DR
5003,Ashley,2010,11,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2010,12,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2011,2,1,1,0,0,0,0,0,0,0,0,1,0,DRUNK_DR
5003,Ashley,2011,3,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2011,4,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2011,5,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2011,6,1,1,0,0,0,0,0,0,0,1,0,0,DRUNK_DR
5003,Ashley,2011,7,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2011,8,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2011,9,1,1,0,0,0,0,0,0,1,0,0,0,DRUNK_DR
5003,Ashley,2011,10,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2011,11,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2011,12,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2012,2,1,1,1,1,1,0,0,0,0,0,0,1,DRUNK_DR
5003,Ashley,2012,3,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2012,4,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2012,5,1,1,1,1,1,0,0,0,0,0,0,1,DRUNK_DR
5003,Ashley,2012,6,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2012,7,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2012,8,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2012,9,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2012,10,1,2,1,1,0,0,0,0,0,0,0,1,DRUNK_DR
5003,Ashley,2012,11,1,1,0,0,0,0,0,0,0,1,0,0,DRUNK_DR
5003,Ashley,2012,12,1,1,1,0,0,0,1,0,0,0,0,0,DRUNK_DR
5003,Ashley,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2013,2,1,3,0,1,1,1,0,0,0,0,0,0,DRUNK_DR
5003,Ashley,2013,3,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2013,4,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2013,5,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2013,6,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2013,7,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2013,8,1,1,1,1,1,1,0,0,0,0,0,0,DRUNK_DR
5003,Ashley,2013,9,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2013,10,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2013,11,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2013,12,1,1,0,0,0,0,0,0,0,0,1,0,DRUNK_DR
5003,Ashley,2014,1,1,1,0,0,0,0,0,0,0,0,1,0,DRUNK_DR
5003,Ashley,2014,2,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2014,3,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2014,4,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2014,5,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2014,6,1,1,0,1,0,0,0,0,0,0,0,1,DRUNK_DR
5003,Ashley,2014,7,1,1,0,0,0,0,0,0,1,0,0,0,DRUNK_DR
5003,Ashley,2014,8,1,1,1,0,1,0,0,0,0,1,0,0,DRUNK_DR
5003,Ashley,2014,9,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2014,10,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2014,11,1,1,0,0,0,0,0,1,0,0,0,0,DRUNK_DR
5003,Ashley,2014,12,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2015,2,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2015,3,1,2,1,1,1,0,0,0,0,0,0,1,DRUNK_DR
5003,Ashley,2015,4,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2015,5,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2015,6,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2015,7,1,1,0,0,0,0,0,0,0,0,1,0,DRUNK_DR
5003,Ashley,2015,8,0,0,0,0,0,0,0,0,0,0,0,0,
5003,Ashley,2015,9,1,1,1,0,0,0,0,0,0,1,0,0,DRUNK_DR
