fips,year,church_establishments,church_employees
5113,2017,28,152
5113,2018,27,136
5113,2019,28,134
5113,2020,28,141
5113,2021,28,111
5113,2022,30,131
5113,2023,29,123
5115,2008,58,482
5115,2009,58,482
5115,2010,58,482
5115,2011,59,483
5115,2012,60,581
5115,2013,62,588
5115,2014,62,480
5115,2015,61,503
5115,2016,64,499
5115,2017,66,463
5115,2018,65,490
5115,2019,66,481
5115,2020,63,489
5115,2021,64,423
5115,2022,61,413
5115,2023,63,358
5117,2008,11,0
5117,2009,11,0
5117,2010,11,0
5117,2011,10,44
5117,2012,10,42
5117,2013,10,44
5117,2014,11,36
5117,2015,11,40
5117,2016,11,39
5117,2017,12,38
5117,2018,13,45
5117,2019,12,46
5117,2020,12,45
5117,2021,11,42
5117,2022,12,43
5117,2023,10,42
5119,2008,389,4627
5119,2009,389,4627
5119,2010,389,4627
5119,2011,388,4569
5119,2012,383,4775
5119,2013,385,4664
5119,2014,382,4534
5119,2015,394,4457
5119,2016,396,4329
5119,2017,400,4393
5119,2018,394,4470
5119,2019,394,4378
5119,2020,388,4173
5119,2021,395,3705
5119,2022,390,3679
5119,2023,390,3878
5121,2008,10,43
5121,2009,10,43
5121,2010,10,43
5121,2011,9,31
5121,2012,10,0
5121,2013,10,31
5121,2014,11,0
5121,2015,11,28
5121,2016,11,33
5121,2017,10,32
5121,2018,10,29
5121,2019,10,25
5121,2020,8,24
5121,2021,10,27
5121,2022,10,26
5121,2023,11,30
5123,2008,16,54
5123,2009,16,54
5123,2010,16,54
5123,2011,18,41
5123,2012,21,65
5123,2013,22,66
5123,2014,21,57
5123,2015,23,72
5123,2016,25,70
5123,2017,26,72
5123,2018,25,78
5123,2019,24,66
5123,2020,20,59
5123,2021,24,69
5123,2022,24,63
5123,2023,20,55
5125,2008,62,595
5125,2009,62,595
5125,2010,62,595
5125,2011,62,573
5125,2012,61,540
5125,2013,65,604
5125,2014,66,608
5125,2015,68,600
5125,2016,66,607
5125,2017,67,599
5125,2018,67,586
5125,2019,72,591
5125,2020,71,593
5125,2021,70,537
5125,2022,73,564
5125,2023,71,575
5127,2008,11,0
5127,2009,11,0
5127,2010,11,0
5127,2011,10,32
5127,2012,11,30
5127,2013,10,25
5127,2014,10,30
5127,2015,10,21
5127,2016,11,24
5127,2017,11,25
5127,2018,10,23
5127,2019,9,21
5127,2020,11,22
5127,2021,11,25
5127,2022,11,21
5127,2023,12,23
5129,2008,4,12
5129,2009,4,12
5129,2010,4,12
5129,2011,6,14
5129,2012,6,0
5129,2013,6,19
5129,2014,5,0
5129,2015,5,14
5129,2016,4,12
5129,2017,4,15
5129,2018,5,11
5129,2019,4,13
5129,2020,4,10
5129,2021,4,7
5129,2022,4,6
5129,2023,4,8
