fips,county_name,acs_vintage,pop_15plus,n_married,n_divorced,n_separated,n_widowed,n_never_married,pct_married,pct_divorced,pct_never_married,pct_widowed,pct_separated
05135,Sharp,2011,14429,8267,2168,335,1548,2446,0.5729,0.1503,0.1695,0.1073,0.0232
05143,Washington,2011,157636,81555,17059,2734,8133,50889,0.5174,0.1082,0.3228,0.0516,0.0173
05003,Ashley,2011,17539,10211,1910,454,1478,3940,0.5822,0.1089,0.2246,0.0843,0.0259
05031,Craighead,2011,75113,40086,8787,1800,4698,21542,0.5337,0.117,0.2868,0.0625,0.024
05073,Lafayette,2011,6250,3216,690,180,645,1699,0.5146,0.1104,0.2718,0.1032,0.0288
05105,Perry,2011,8606,4971,1248,91,653,1734,0.5776,0.145,0.2015,0.0759,0.0106
05111,Poinsett,2011,19668,10148,3098,623,1966,4456,0.516,0.1575,0.2266,0.1,0.0317
05133,Sevier,2011,12717,7590,1260,429,1125,2742,0.5968,0.0991,0.2156,0.0885,0.0337
05013,Calhoun,2011,4519,2273,641,189,476,1129,0.503,0.1418,0.2498,0.1053,0.0418
05011,Bradley,2011,9245,5784,916,324,702,1843,0.6256,0.0991,0.1994,0.0759,0.035
05075,Lawrence,2011,14081,8009,1673,385,1269,3130,0.5688,0.1188,0.2223,0.0901,0.0273
05113,Polk,2011,16514,9585,2420,167,1620,2889,0.5804,0.1465,0.1749,0.0981,0.0101
05029,Conway,2011,16874,8983,2623,456,1482,3786,0.5324,0.1554,0.2244,0.0878,0.027
05101,Newton,2011,6928,4465,722,167,504,1237,0.6445,0.1042,0.1786,0.0727,0.0241
05081,Little River,2011,10575,6161,1295,283,834,2285,0.5826,0.1225,0.2161,0.0789,0.0268
05085,Lonoke,2011,51795,31012,6218,1235,3140,11425,0.5987,0.1201,0.2206,0.0606,0.0238
05091,Miller,2011,34353,18533,4213,1254,2855,8752,0.5395,0.1226,0.2548,0.0831,0.0365
05123,St. Francis,2011,22507,9505,3657,1233,1867,7478,0.4223,0.1625,0.3323,0.083,0.0548
05145,White,2011,60953,36115,6851,1294,3840,14147,0.5925,0.1124,0.2321,0.063,0.0212
05021,Clay,2011,13227,7669,1844,181,1200,2514,0.5798,0.1394,0.1901,0.0907,0.0137
05043,Drew,2011,14903,7582,1844,304,1281,4196,0.5088,0.1237,0.2816,0.086,0.0204
05121,Randolph,2011,14615,9052,1684,402,1239,2640,0.6194,0.1152,0.1806,0.0848,0.0275
05009,Boone,2011,29822,18124,3625,542,2250,5823,0.6077,0.1216,0.1953,0.0754,0.0182
05041,Desha,2011,10257,5295,994,285,1062,2906,0.5162,0.0969,0.2833,0.1035,0.0278
